pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,26,2348,27080,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,27,2355,28081,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,28,2359,29081,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,29,2366,30082,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,30,2370,31083,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,31,2375,32084,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,32,2382,33084,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,33,2399,34084,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
9,0,131,1027,4352,3072,24576,0,3072,0,11346,13669,0,25,0,0,25,25,0,0,781,0,11371,25,25,0
9,1,273,2040,4352,3840,30720,0,3584,0,12053,15640,0,22,0,0,22,22,0,0,579,0,11858,22,22,0
9,2,395,3045,4352,2048,16384,0,2048,0,8549,10639,0,33,0,0,33,33,0,0,1813,0,8582,33,33,0
9,3,517,4046,4480,3840,30720,0,3840,0,11741,15648,0,26,0,0,26,26,0,0,2092,0,11767,26,26,0
9,4,627,5062,4480,3840,30720,0,3840,0,11135,15017,0,16,0,0,16,16,0,0,2089,0,11151,16,16,0
9,5,743,6073,4608,3072,24576,0,3072,0,11257,14211,0,24,0,0,24,24,0,0,4201,0,10700,24,24,0
9,6,885,7074,4608,4096,32768,0,4096,0,12485,16585,0,26,0,0,26,26,0,0,4325,0,12511,26,26,0
9,7,1023,8076,4736,4352,34816,0,4352,0,13578,17923,0,31,0,0,31,31,0,0,5436,0,13609,31,31,0
9,8,1152,9077,4736,3840,30720,0,3840,0,13493,17534,0,35,0,0,35,35,0,0,6123,0,13529,35,35,0
9,9,1298,10081,4736,5632,45056,0,5632,0,17125,22541,0,18,0,0,18,18,0,0,6484,0,17018,18,18,0
9,10,1474,11087,4736,4608,36864,0,4608,0,14506,19302,0,18,0,0,18,18,0,0,7808,0,14524,18,18,0
9,11,1579,12090,4736,2816,22528,0,2816,0,10472,13187,0,19,0,0,19,19,0,0,8081,0,10491,22,22,3
9,12,1748,13096,4864,5376,43008,0,5376,0,16003,21443,0,37,0,0,37,37,0,0,11480,0,16037,34,34,0
9,13,1830,14106,4864,2304,18432,0,2304,0,8647,10945,0,21,0,0,21,21,0,0,11441,0,8592,19,19,0
9,14,1914,15111,4864,3072,24576,0,3072,0,11010,14145,0,20,0,0,20,20,0,0,11988,0,11030,20,20,0
9,15,2007,16114,4864,2816,22528,0,2816,0,9320,12033,0,26,0,0,26,26,0,0,12397,0,9346,26,26,0
9,16,2131,17115,4864,3876,31008,0,3876,0,11704,16314,0,19,0,0,19,19,0,0,12107,0,11723,19,19,0
9,17,2139,18116,4864,0,0,0,0,0,144,240,0,2,0,0,2,2,0,0,12155,0,146,2,2,0
9,18,2145,19116,4864,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,12103,0,0,0,0,0
9,19,2150,20117,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12103,0,0,0,0,0
